IBOV - Carteira do Dia 04/12/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;235.661.666;0,313;
ALOS3;ALLOS;ON      NM;532.616.595;0,611;
ALPA4;ALPARGATAS;PN  ATZ N1;208.965.950;0,091;
ABEV3;AMBEV S/A;ON;4.394.245.879;2,791;
ARZZ3;AREZZO CO;ON      NM;62.305.891;0,167;
ASAI3;ASSAI;ON      NM;1.349.645.897;0,793;
AZUL4;AZUL;PN      N2;327.593.725;0,251;
B3SA3;B3;ON      NM;5.694.552.584;3,476;
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;0,936;
BBDC3;BRADESCO;ON  EJ  N1;1.500.728.902;0,971;
BBDC4;BRADESCO;PN  EJ  N1;5.146.576.868;3,785;
BRAP4;BRADESPAR;PN      N1;251.003.438;0,280;
BBAS3;BRASIL;ON      NM;1.420.949.112;3,486;
BRKM5;BRASKEM;PNA ATZ N1;265.479.055;0,216;
BRFS3;BRF SA;ON      NM;1.677.525.446;1,149;
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,828;
CRFB3;CARREFOUR BR;ON      NM;531.372.207;0,275;
BHIA3;CASAS BAHIA;ON      NM;2.361.578.440;0,058;
CCRO3;CCR SA;ON      NM;995.335.937;0,621;
CMIG4;CEMIG;PN      N1;1.437.415.777;0,713;
CIEL3;CIELO;ON      NM;1.095.462.329;0,215;
COGN3;COGNA ON;ON  ATZ NM;1.815.524.541;0,269;
CPLE6;COPEL;PNB     N2;1.679.335.290;0,710;
CSAN3;COSAN;ON      NM;1.168.097.881;0,937;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,314;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,356;
CVCB3;CVC BRASIL;ON      NM;443.905.649;0,070;
CYRE3;CYRELA REALT;ON      NM;265.784.616;0,266;
DXCO3;DEXCO;ON      NM;303.055.637;0,102;
ELET3;ELETROBRAS;ON      N1;1.980.568.384;3,673;
ELET6;ELETROBRAS;PNB     N1;270.230.714;0,547;
EMBR3;EMBRAER;ON      NM;734.632.705;0,757;
ENGI11;ENERGISA;UNT     N2;290.435.910;0,695;
ENEV3;ENEVA;ON      NM;1.578.931.315;0,922;
EGIE3;ENGIE BRASIL;ON      NM;255.230.961;0,503;
EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,689;
EZTC3;EZTEC;ON      NM;91.514.307;0,077;
FLRY3;FLEURY;ON      NM;345.269.967;0,272;
GGBR4;GERDAU;PN      N1;1.118.525.506;1,118;
GOAU4;GERDAU MET;PN      N1;660.411.219;0,310;
GOLL4;GOL;PN      N2;198.184.909;0,082;
NTCO3;GRUPO NATURA;ON      NM;839.638.069;0,641;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,143;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,862;
HYPE3;HYPERA;ON      NM;409.490.388;0,632;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,230;
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,198;
ITSA4;ITAUSA;PN  EJB N1;5.457.171.904;2,400;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.801.593.832;6,823;
JBSS3;JBS;ON      NM;1.134.986.472;1,222;
KLBN11;KLABIN S/A;UNT     N2;706.747.385;0,675;
RENT3;LOCALIZA;ON      NM;852.600.726;2,336;
LWSA3;LOCAWEB;ON      NM;425.161.586;0,118;
LREN3;LOJAS RENNER;ON      NM;951.318.467;0,703;
MGLU3;MAGAZ LUIZA;ON      NM;2.867.627.068;0,281;
MRFG3;MARFRIG;ON      NM;292.587.273;0,132;
BEEF3;MINERVA;ON      NM;261.036.182;0,088;
MRVE3;MRV;ON      NM;376.187.582;0,163;
MULT3;MULTIPLAN;ON      N2;266.965.257;0,334;
PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,025;
PETR3;PETROBRAS;ON      N2;2.585.311.860;4,338;
PETR4;PETROBRAS;PN      N2;4.566.445.852;7,348;
RECV3;PETRORECSA;ON      NM;274.957.807;0,259;
PRIO3;PETRORIO;ON  ATZ NM;798.274.909;1,605;
PETZ3;PETZ;ON      NM;329.077.188;0,064;
RADL3;RAIADROGASIL;ON      NM;1.263.596.819;1,599;
RAIZ4;RAIZEN;PN      N2;1.193.671.389;0,197;
